"unit","var","subgroup","numerator","denominator"
"All municipalities","All diagnoses",2020-01-01,738,91879
"All municipalities","All diagnoses",2020-02-01,654,91879
"All municipalities","All diagnoses",2020-03-01,548,91879
"All municipalities","All diagnoses",2020-04-01,409,91879
"All municipalities","All diagnoses",2020-05-01,494,91879
"All municipalities","All diagnoses",2020-06-01,493,91879
"All municipalities","All diagnoses",2020-07-01,515,91879
"All municipalities","All diagnoses",2020-08-01,563,91879
"All municipalities","All diagnoses",2020-09-01,555,91879
"All municipalities","All diagnoses",2020-10-01,485,91879
"All municipalities","All diagnoses",2020-11-01,547,91879
"All municipalities","All diagnoses",2020-12-01,500,91879
"All municipalities","All diagnoses",2021-01-01,499,91108
"All municipalities","All diagnoses",2021-02-01,517,91108
"All municipalities","All diagnoses",2021-03-01,501,91108
"All municipalities","All diagnoses",2021-04-01,510,91108
"All municipalities","All diagnoses",2021-05-01,516,91108
"All municipalities","All diagnoses",2021-06-01,530,91108
"All municipalities","All diagnoses",2021-07-01,563,91108
"All municipalities","All diagnoses",2021-08-01,588,91108
"All municipalities","All diagnoses",2021-09-01,629,91108
"All municipalities","All diagnoses",2021-10-01,653,91108
"All municipalities","All diagnoses",2021-11-01,626,91108
"All municipalities","All diagnoses",2021-12-01,621,91108
"All municipalities","All diagnoses",2022-01-01,588,92771
"All municipalities","All diagnoses",2022-02-01,471,92771
"All municipalities","All diagnoses",2022-03-01,609,92771
"All municipalities","All diagnoses",2022-04-01,628,92771
"All municipalities","All diagnoses",2022-05-01,588,92771
"All municipalities","All diagnoses",2022-06-01,580,92771
"All municipalities","All diagnoses",2022-07-01,588,92771
"All municipalities","All diagnoses",2022-08-01,629,92771
"All municipalities","All diagnoses",2022-09-01,594,92771
"All municipalities","All diagnoses",2022-10-01,641,92771
"All municipalities","All diagnoses",2022-11-01,638,92771
"All municipalities","All diagnoses",2022-12-01,808,92771
"All municipalities","All diagnoses",2023-01-01,678,93972
"All municipalities","All diagnoses",2023-02-01,580,93972
"All municipalities","All diagnoses",2023-03-01,670,93972
"All municipalities","All diagnoses",2023-04-01,709,93972
"All municipalities","All diagnoses",2023-05-01,675,93972
"All municipalities","All diagnoses",2023-06-01,595,93972
"All municipalities","All diagnoses",2023-07-01,563,93972
"All municipalities","All diagnoses",2023-08-01,566,93972
"All municipalities","All diagnoses",2023-09-01,611,93972
"All municipalities","All diagnoses",2023-10-01,651,93972
"All municipalities","All diagnoses",2023-11-01,660,93972
"All municipalities","All diagnoses",2023-12-01,760,93972
"All municipalities","All diagnoses",2024-01-01,786,95101
"All municipalities","All diagnoses",2024-02-01,628,95101
"All municipalities","All diagnoses",2024-03-01,745,95101
"All municipalities","All diagnoses",2024-04-01,672,95101
"All municipalities","All diagnoses",2024-05-01,696,95101
"All municipalities","All diagnoses",2024-06-01,607,95101
"All municipalities","All diagnoses",2024-07-01,588,95101
"All municipalities","All diagnoses",2024-08-01,581,95101
"All municipalities","All diagnoses",2024-09-01,633,95101
"All municipalities","All diagnoses",2024-10-01,623,95101
"All municipalities","All diagnoses",2024-11-01,601,95101
"All municipalities","All diagnoses",2024-12-01,724,95101
"All municipalities","Fracture from fall",2020-01-01,236,91879
"All municipalities","Fracture from fall",2020-02-01,231,91879
"All municipalities","Fracture from fall",2020-03-01,200,91879
"All municipalities","Fracture from fall",2020-04-01,182,91879
"All municipalities","Fracture from fall",2020-05-01,220,91879
"All municipalities","Fracture from fall",2020-06-01,218,91879
"All municipalities","Fracture from fall",2020-07-01,213,91879
"All municipalities","Fracture from fall",2020-08-01,230,91879
"All municipalities","Fracture from fall",2020-09-01,243,91879
"All municipalities","Fracture from fall",2020-10-01,212,91879
"All municipalities","Fracture from fall",2020-11-01,252,91879
"All municipalities","Fracture from fall",2020-12-01,193,91879
"All municipalities","Fracture from fall",2021-01-01,244,91108
"All municipalities","Fracture from fall",2021-02-01,248,91108
"All municipalities","Fracture from fall",2021-03-01,207,91108
"All municipalities","Fracture from fall",2021-04-01,218,91108
"All municipalities","Fracture from fall",2021-05-01,199,91108
"All municipalities","Fracture from fall",2021-06-01,235,91108
"All municipalities","Fracture from fall",2021-07-01,233,91108
"All municipalities","Fracture from fall",2021-08-01,247,91108
"All municipalities","Fracture from fall",2021-09-01,246,91108
"All municipalities","Fracture from fall",2021-10-01,263,91108
"All municipalities","Fracture from fall",2021-11-01,261,91108
"All municipalities","Fracture from fall",2021-12-01,245,91108
"All municipalities","Fracture from fall",2022-01-01,222,92771
"All municipalities","Fracture from fall",2022-02-01,183,92771
"All municipalities","Fracture from fall",2022-03-01,259,92771
"All municipalities","Fracture from fall",2022-04-01,226,92771
"All municipalities","Fracture from fall",2022-05-01,227,92771
"All municipalities","Fracture from fall",2022-06-01,214,92771
"All municipalities","Fracture from fall",2022-07-01,244,92771
"All municipalities","Fracture from fall",2022-08-01,296,92771
"All municipalities","Fracture from fall",2022-09-01,251,92771
"All municipalities","Fracture from fall",2022-10-01,251,92771
"All municipalities","Fracture from fall",2022-11-01,264,92771
"All municipalities","Fracture from fall",2022-12-01,313,92771
"All municipalities","Fracture from fall",2023-01-01,249,93972
"All municipalities","Fracture from fall",2023-02-01,208,93972
"All municipalities","Fracture from fall",2023-03-01,253,93972
"All municipalities","Fracture from fall",2023-04-01,240,93972
"All municipalities","Fracture from fall",2023-05-01,264,93972
"All municipalities","Fracture from fall",2023-06-01,266,93972
"All municipalities","Fracture from fall",2023-07-01,225,93972
"All municipalities","Fracture from fall",2023-08-01,216,93972
"All municipalities","Fracture from fall",2023-09-01,255,93972
"All municipalities","Fracture from fall",2023-10-01,269,93972
"All municipalities","Fracture from fall",2023-11-01,265,93972
"All municipalities","Fracture from fall",2023-12-01,264,93972
"All municipalities","Fracture from fall",2024-01-01,338,95101
"All municipalities","Fracture from fall",2024-02-01,216,95101
"All municipalities","Fracture from fall",2024-03-01,261,95101
"All municipalities","Fracture from fall",2024-04-01,263,95101
"All municipalities","Fracture from fall",2024-05-01,284,95101
"All municipalities","Fracture from fall",2024-06-01,275,95101
"All municipalities","Fracture from fall",2024-07-01,249,95101
"All municipalities","Fracture from fall",2024-08-01,242,95101
"All municipalities","Fracture from fall",2024-09-01,254,95101
"All municipalities","Fracture from fall",2024-10-01,275,95101
"All municipalities","Fracture from fall",2024-11-01,261,95101
"All municipalities","Fracture from fall",2024-12-01,258,95101
"All municipalities","Gastroenteritis",2020-01-01,16,91879
"All municipalities","Gastroenteritis",2020-02-01,19,91879
"All municipalities","Gastroenteritis",2020-03-01,23,91879
"All municipalities","Gastroenteritis",2020-04-01,11,91879
"All municipalities","Gastroenteritis",2020-05-01,23,91879
"All municipalities","Gastroenteritis",2020-06-01,20,91879
"All municipalities","Gastroenteritis",2020-07-01,26,91879
"All municipalities","Gastroenteritis",2020-08-01,14,91879
"All municipalities","Gastroenteritis",2020-09-01,19,91879
"All municipalities","Gastroenteritis",2020-10-01,18,91879
"All municipalities","Gastroenteritis",2020-11-01,7,91879
"All municipalities","Gastroenteritis",2020-12-01,16,91879
"All municipalities","Gastroenteritis",2021-01-01,15,91108
"All municipalities","Gastroenteritis",2021-02-01,14,91108
"All municipalities","Gastroenteritis",2021-03-01,14,91108
"All municipalities","Gastroenteritis",2021-04-01,15,91108
"All municipalities","Gastroenteritis",2021-05-01,12,91108
"All municipalities","Gastroenteritis",2021-06-01,17,91108
"All municipalities","Gastroenteritis",2021-07-01,21,91108
"All municipalities","Gastroenteritis",2021-08-01,20,91108
"All municipalities","Gastroenteritis",2021-09-01,18,91108
"All municipalities","Gastroenteritis",2021-10-01,28,91108
"All municipalities","Gastroenteritis",2021-11-01,25,91108
"All municipalities","Gastroenteritis",2021-12-01,16,91108
"All municipalities","Gastroenteritis",2022-01-01,22,92771
"All municipalities","Gastroenteritis",2022-02-01,22,92771
"All municipalities","Gastroenteritis",2022-03-01,22,92771
"All municipalities","Gastroenteritis",2022-04-01,22,92771
"All municipalities","Gastroenteritis",2022-05-01,18,92771
"All municipalities","Gastroenteritis",2022-06-01,21,92771
"All municipalities","Gastroenteritis",2022-07-01,16,92771
"All municipalities","Gastroenteritis",2022-08-01,16,92771
"All municipalities","Gastroenteritis",2022-09-01,20,92771
"All municipalities","Gastroenteritis",2022-10-01,22,92771
"All municipalities","Gastroenteritis",2022-11-01,16,92771
"All municipalities","Gastroenteritis",2022-12-01,18,92771
"All municipalities","Gastroenteritis",2023-01-01,17,93972
"All municipalities","Gastroenteritis",2023-02-01,20,93972
"All municipalities","Gastroenteritis",2023-03-01,21,93972
"All municipalities","Gastroenteritis",2023-04-01,19,93972
"All municipalities","Gastroenteritis",2023-05-01,28,93972
"All municipalities","Gastroenteritis",2023-06-01,20,93972
"All municipalities","Gastroenteritis",2023-07-01,23,93972
"All municipalities","Gastroenteritis",2023-08-01,22,93972
"All municipalities","Gastroenteritis",2023-09-01,18,93972
"All municipalities","Gastroenteritis",2023-10-01,10,93972
"All municipalities","Gastroenteritis",2023-11-01,29,93972
"All municipalities","Gastroenteritis",2023-12-01,40,93972
"All municipalities","Gastroenteritis",2024-01-01,28,95101
"All municipalities","Gastroenteritis",2024-02-01,29,95101
"All municipalities","Gastroenteritis",2024-03-01,42,95101
"All municipalities","Gastroenteritis",2024-04-01,22,95101
"All municipalities","Gastroenteritis",2024-05-01,19,95101
"All municipalities","Gastroenteritis",2024-06-01,19,95101
"All municipalities","Gastroenteritis",2024-07-01,18,95101
"All municipalities","Gastroenteritis",2024-08-01,22,95101
"All municipalities","Gastroenteritis",2024-09-01,18,95101
