# source: https://sundhedsdatabank.dk/behandling-og-pleje/ventetid
#   Ventetid til behandling på sygehus (udgivet august 2025)

Aar,Kvartal,REGION,Operationsgruppe,Antal,Gns_ventetid
2020,1K20,Hele landet,Brok,1174,51
2020,1K20,Hele landet,Resten,39684,42
2020,1K20,Hele landet,Menisk,672,35
2020,1K20,Hele landet,Kunstig hofte,2003,59
2020,1K20,Hele landet,Galdesten,518,40
2020,1K20,Hele landet,Kunstig knæ,1993,70
2020,1K20,Region Hovedstaden,Galdesten,139,45
2020,1K20,Region Hovedstaden,Brok,411,60
2020,1K20,Region Hovedstaden,Resten,10817,40
2020,1K20,Region Hovedstaden,Kunstig knæ,568,89
2020,1K20,Region Hovedstaden,Menisk,315,33
2020,1K20,Region Hovedstaden,Kunstig hofte,500,72
2020,1K20,Region Midtjylland,Resten,9316,41
2020,1K20,Region Midtjylland,Brok,272,34
2020,1K20,Region Midtjylland,Galdesten,120,25
2020,1K20,Region Midtjylland,Kunstig knæ,414,52
2020,1K20,Region Midtjylland,Menisk,120,41
2020,1K20,Region Midtjylland,Kunstig hofte,479,47
2020,1K20,Region Nordjylland,Kunstig knæ,211,54
2020,1K20,Region Nordjylland,Kunstig hofte,236,41
2020,1K20,Region Nordjylland,Resten,4674,47
2020,1K20,Region Nordjylland,Brok,81,43
2020,1K20,Region Nordjylland,Menisk,30,30
2020,1K20,Region Nordjylland,Galdesten,58,35
2020,1K20,Region Sjælland,Resten,4974,44
2020,1K20,Region Sjælland,Kunstig knæ,425,73
2020,1K20,Region Sjælland,Brok,247,51
2020,1K20,Region Sjælland,Galdesten,89,47
2020,1K20,Region Sjælland,Kunstig hofte,371,68
2020,1K20,Region Sjælland,Menisk,91,32
2020,1K20,Region Syddanmark,Menisk,116,37
2020,1K20,Region Syddanmark,Resten,9903,44
2020,1K20,Region Syddanmark,Galdesten,112,49
2020,1K20,Region Syddanmark,Kunstig hofte,417,59
2020,1K20,Region Syddanmark,Brok,163,58
2020,1K20,Region Syddanmark,Kunstig knæ,375,69
2020,2K20,Hele landet,Menisk,452,45
2020,2K20,Hele landet,Kunstig knæ,1338,98
2020,2K20,Hele landet,Kunstig hofte,1398,81
2020,2K20,Hele landet,Brok,736,71
2020,2K20,Hele landet,Resten,31057,51
2020,2K20,Hele landet,Galdesten,417,46
2020,2K20,Region Hovedstaden,Kunstig hofte,319,98
2020,2K20,Region Hovedstaden,Menisk,162,56
2020,2K20,Region Hovedstaden,Kunstig knæ,287,118
2020,2K20,Region Hovedstaden,Resten,8309,51
2020,2K20,Region Hovedstaden,Galdesten,119,53
2020,2K20,Region Hovedstaden,Brok,302,85
2020,2K20,Region Midtjylland,Kunstig hofte,296,79
2020,2K20,Region Midtjylland,Resten,7265,55
2020,2K20,Region Midtjylland,Kunstig knæ,272,73
2020,2K20,Region Midtjylland,Brok,151,46
2020,2K20,Region Midtjylland,Galdesten,109,49
2020,2K20,Region Midtjylland,Menisk,98,43
2020,2K20,Region Nordjylland,Brok,41,81
2020,2K20,Region Nordjylland,Menisk,19,35
2020,2K20,Region Nordjylland,Kunstig hofte,201,65
2020,2K20,Region Nordjylland,Kunstig knæ,148,80
2020,2K20,Region Nordjylland,Resten,3717,53
2020,2K20,Region Nordjylland,Galdesten,39,25
2020,2K20,Region Sjælland,Kunstig hofte,200,85
2020,2K20,Region Sjælland,Galdesten,63,36
2020,2K20,Region Sjælland,Resten,3419,45
2020,2K20,Region Sjælland,Kunstig knæ,204,112
2020,2K20,Region Sjælland,Menisk,60,32
2020,2K20,Region Sjælland,Brok,143,57
